name,Monday ,Tuesday ,Wednesday ,Thursday ,Friday,Saturday ,Sunday,Weekly cost,Predict rate
Dasheen,40.4,70,20,55.3,42.3,41,37.9,43.8,16.7
Wine - Ruffino Chianti,36.6,89,33,51.6,46.4,21,54.6,15.3,11.3
"Veal - Tenderloin, Untrimmed",64.2,64,45,57.1,44.0,47,20.8,35.3,56.8
Wine - Soave Folonari,67.9,56,56,49.3,51.5,40,23.9,32.2,29.5
"Beans - Black Bean, Preserved",58.3,69,27,44.8,44.2,33,26.2,43.1,59.1
Wine - Chablis J Moreau Et Fils,59.1,50,64,46.2,41.3,22,43.3,45.4,29.6
"Tomatoes - Cherry, Yellow",78.2,26,38,43.5,42.9,21,26.8,45.1,57.2
Dates,64.4,64,49,55.9,40.3,42,25.9,30.1,43.9
Huck White Towels,59.9,54,57,47.5,52.1,46,25.8,17.6,11.1
"Lemonade - Island Tea, 591 Ml",75.4,36,22,57.9,57.8,31,44.7,34.7,56.4
Bonito Flakes - Toku Katsuo,22.3,58,70,43.0,52.6,45,25.8,48.2,50.9
Pepper - Red Thai,24.4,72,63,44.1,51.1,53,40.0,20.1,72.7
Salt - Sea,66.6,65,35,49.0,56.2,49,29.3,33.7,81.7
Soap - Mr.clean Floor Soap,21.1,87,62,46.6,52.2,33,22.8,23.4,19.8
Flour - So Mix Cake White,61.0,73,55,43.2,42.8,27,32.6,31.2,16.9
Wine - Zonnebloem Pinotage,22.0,43,44,45.0,44.1,20,35.9,22.9,78.5
Juice - Mango,70.2,82,21,53.5,46.2,53,54.6,48.9,69.4
Watercress,22.5,34,28,51.0,51.9,49,20.7,29.8,80.8
Scallops 60/80 Iqf,42.8,86,63,58.8,48.4,44,48.6,45.0,37.5
"Asparagus - Green, Fresh",34.6,84,51,57.8,42.8,34,37.7,47.7,35.5
Zucchini - Yellow,74.9,48,49,43.6,55.0,53,46.0,41.5,60.2
Rice Wine - Aji Mirin,79.4,61,29,43.8,42.7,60,42.5,19.5,50.2
Muffin Orange Individual,39.3,44,39,56.2,45.0,41,43.7,19.9,88.0
Shrimp - 31/40,29.7,46,48,45.1,52.0,41,45.3,12.2,25.9
Jello - Assorted,75.0,79,55,44.0,49.8,52,46.4,14.8,26.7
Green Tea Refresher,36.5,70,27,47.8,42.7,24,33.7,29.7,27.4
Pate - Peppercorn,74.5,37,39,54.3,45.6,40,26.2,29.4,37.2
Ice Cream - Fudge Bars,63.6,48,27,48.9,45.7,23,30.0,14.8,85.2
Cup - 4oz Translucent,41.0,51,53,47.9,48.1,34,30.1,16.1,85.5
Flavouring - Raspberry,49.0,65,37,58.5,55.1,28,43.7,34.2,66.7
Chocolate - Milk Coating,33.8,31,43,44.3,45.0,56,59.8,15.0,81.9
Mussels - Frozen,51.7,45,66,59.5,58.2,28,57.4,25.9,76.4
Wine - Mondavi Coastal Private,54.2,89,40,58.1,44.2,40,21.2,20.5,66.6
"Nut - Cashews, Whole, Raw",58.2,39,59,45.7,40.5,25,48.3,37.2,78.8
Kirsch - Schloss,57.0,77,57,45.0,57.1,46,24.7,26.7,77.4
Table Cloth 54x72 White,38.5,68,38,46.2,44.4,43,21.8,27.5,12.6
Pepper - Jalapeno,75.4,87,60,45.5,50.1,53,30.7,33.6,58.9
Pepper - Red Chili,33.0,36,53,55.1,53.5,34,31.1,11.5,15.1
Wine - Chateau Aqueria Tavel,57.6,83,52,48.5,44.0,51,52.8,21.9,41.1
Beef - Ground Medium,59.3,33,58,45.5,50.8,36,54.8,31.1,68.3
Cheese - Cream Cheese,79.3,26,48,53.0,45.6,53,37.3,44.0,72.8
Edible Flower - Mixed,46.5,40,68,43.8,59.3,27,33.2,25.7,85.4
Soup - Campbells - Tomato,79.8,34,61,51.6,59.9,54,55.5,16.0,40.3
Sugar - Cubes,53.6,72,61,57.7,46.1,36,48.3,49.6,88.3
Flour - All Purpose,55.6,84,59,52.0,58.1,42,43.2,40.2,86.9
Potatoes - Idaho 100 Count,62.4,65,49,43.7,50.0,54,34.6,42.2,27.5
Pie Filling - Apple,54.6,52,26,58.9,45.7,46,37.1,19.4,79.9
Saskatoon Berries - Frozen,37.4,66,38,57.6,52.1,60,42.5,21.7,86.6
Steampan Lid,41.4,62,42,58.3,53.4,39,21.6,14.9,80.2
Maintenance Removal Charge,51.4,67,35,43.3,42.4,32,46.9,29.4,27.3
Wine - Gewurztraminer Pierre,43.6,79,64,59.2,50.0,58,22.2,27.2,30.0
Wanton Wrap,34.7,66,61,49.0,42.1,53,52.0,32.2,60.3
"Gin - Gilbeys London, Dry",23.6,73,36,56.8,53.0,46,47.3,17.6,25.5
Sprouts - Corn,71.2,82,24,48.3,55.7,48,35.5,17.5,25.8
Mousse - Mango,77.5,23,24,56.8,49.6,25,25.9,44.7,38.5
Spice - Pepper Portions,38.5,73,62,56.8,55.2,29,41.3,21.5,82.3
Transfer Sheets,65.4,46,39,57.6,41.6,20,33.3,13.9,65.2
"Beans - Black Bean, Canned",29.3,51,56,59.7,40.3,46,20.5,34.8,73.2
Snapple - Iced Tea Peach,30.6,59,61,41.9,57.3,49,32.8,13.6,54.1
"Ranchero - Primerba, Paste",60.0,41,61,50.1,59.8,24,51.9,20.8,62.5
Chicken Breast Halal,24.3,77,23,46.7,46.2,26,31.4,45.6,17.9
"Pork - Bacon, Double Smoked",28.2,20,52,58.1,55.1,47,39.0,31.5,77.8
Oven Mitts - 15 Inch,56.7,73,40,46.8,47.1,57,33.6,12.0,78.7
"Soup - Knorr, Country Bean",54.7,82,64,47.4,54.0,51,41.9,20.0,25.0
Chicken - Tenderloin,62.0,27,67,48.2,50.1,58,38.5,36.5,87.5
Ice Cream - Strawberry,78.1,75,46,54.7,52.2,26,45.7,49.2,62.0
Emulsifier,52.5,77,67,42.9,53.4,53,20.6,47.9,43.2
"Beef - Ground, Extra Lean, Fresh",32.8,22,68,59.9,59.7,44,24.8,11.1,42.3
Milk Powder,30.5,23,32,50.2,48.6,49,31.4,38.0,25.5
Beer - True North Lager,40.7,29,55,57.3,54.2,36,42.3,12.0,50.4
Napkin Colour,52.1,32,63,56.0,46.6,56,40.2,12.8,33.5
Flour Dark Rye,40.2,72,61,56.1,53.9,27,39.3,25.5,42.3
Cauliflower,20.8,38,21,52.2,49.0,60,40.2,21.9,54.3
Fond - Chocolate,34.9,31,39,54.6,44.0,40,53.7,16.6,21.2
Table Cloth 62x120 White,20.9,35,65,55.8,56.3,32,43.3,45.2,17.8
Kirsch - Schloss,36.6,90,26,40.6,43.9,35,20.4,46.5,42.5
Sprouts - Onion,68.8,49,53,52.0,48.9,41,45.1,32.4,71.3
Wine - Taylors Reserve,72.0,51,61,50.8,42.0,55,27.2,32.4,24.8
"Veal - Tenderloin, Untrimmed",36.5,69,22,57.0,55.4,42,50.4,34.9,79.5
Glass - Juice Clear 5oz 55005,33.8,89,30,56.4,55.8,49,23.6,15.6,21.6
Cabbage - Red,66.7,63,21,56.3,52.0,58,23.8,32.7,76.8
Longos - Lasagna Beef,25.8,89,42,41.3,57.7,58,49.1,38.5,20.7
Container - Clear 16 Oz,66.9,77,47,56.1,55.0,43,26.9,12.5,81.8
Sping Loaded Cup Dispenser,41.8,60,67,57.6,49.5,40,47.6,43.2,58.6
Table Cloth - 53x69 Colour,46.1,46,23,41.6,48.3,42,39.9,22.5,22.1
Sobe - Green Tea,76.7,82,59,54.3,47.2,25,42.6,47.0,78.1
Scrubbie - Scotchbrite Hand Pad,36.6,67,20,55.6,51.0,33,42.5,41.7,60.9
Sausage - Andouille,33.9,44,48,45.9,50.9,35,39.7,35.5,68.1
Wine - Piper Heidsieck Brut,71.5,50,62,40.6,55.9,49,47.4,42.7,12.6
Magnotta Bel Paese Red,42.8,84,25,56.4,53.4,53,20.5,23.0,36.4
Langers - Ruby Red Grapfruit,41.9,40,48,57.7,53.3,52,35.6,49.0,73.1
Leeks - Large,68.6,66,37,48.2,46.6,22,40.5,41.1,43.4
"Coconut - Shredded, Sweet",31.5,89,40,46.1,43.6,20,55.0,28.9,36.9
"Red Snapper - Fresh, Whole",46.5,61,63,47.7,59.1,21,41.5,48.7,14.8
"Chocolate - Pistoles, White",28.0,82,53,47.7,59.2,33,52.0,28.9,63.4
"Rum - Cream, Amarula",35.5,48,49,53.8,54.4,54,26.2,11.8,52.7
Oats Large Flake,31.0,42,31,55.7,47.2,60,45.9,16.5,41.7
Cheese - Montery Jack,37.2,31,52,41.3,55.1,59,42.7,13.3,10.5
Wine - Pinot Noir Mondavi Coastal,64.0,20,62,50.1,58.5,54,56.0,45.3,40.0
Juice - Lagoon Mango,44.1,43,37,59.0,57.5,44,55.0,42.7,45.5
Chicken - Ground,57.4,50,27,57.5,41.6,40,51.0,49.7,69.6
Soup - Campbells - Chicken Noodle,22.1,81,33,54.6,57.5,53,21.0,22.8,17.4
"Pork - Ham, Virginia",52.9,20,26,47.0,40.9,44,32.4,22.7,17.7
Beef - Cow Feet Split,57.2,45,44,48.9,46.8,57,33.1,41.4,81.1
"Mustard - Dry, Powder",75.9,68,45,58.7,59.4,34,22.8,18.0,39.6
Steam Pan - Half Size Deep,61.5,42,54,51.4,56.8,49,34.8,21.4,44.3
"Vermouth - Sweet, Cinzano",33.1,26,32,59.1,42.9,59,50.2,36.9,83.2
Olives - Morracan Dired,48.8,37,34,57.3,50.8,40,47.1,42.3,69.4
Eggs - Extra Large,23.7,58,42,53.6,41.3,42,29.3,34.0,65.0
Pie Box - Cello Window 2.5,71.0,71,41,59.1,47.1,26,37.8,28.9,43.5
Icecream - Dibs,29.6,29,66,57.1,48.3,56,59.8,34.8,31.9
Muffin Hinge - 211n,51.0,21,68,46.5,52.6,59,20.2,12.4,56.3
Island Oasis - Sweet And Sour Mix,21.0,22,56,42.2,48.1,24,20.6,36.2,13.2
Container - Foam Dixie 12 Oz,66.8,87,40,40.1,45.0,45,29.4,22.6,57.9
"Potatoes - Yukon Gold, 80 Ct",56.9,70,64,54.7,53.8,24,46.5,28.6,41.8
Smirnoff Green Apple Twist,72.3,30,35,59.6,47.8,28,25.2,44.7,43.7
"Cup - 3.5oz, Foam",23.2,54,46,50.8,53.8,42,23.5,37.9,23.0
"Squash - Pattypan, Yellow",27.8,57,24,54.6,48.1,51,44.5,21.7,24.7
Puff Pastry - Sheets,21.0,54,55,52.7,40.5,44,56.0,23.5,32.9
Salt - Celery,60.7,42,55,44.7,41.4,33,44.6,27.8,43.9
Icecream Cone - Areo Chocolate,62.2,34,25,56.8,57.4,55,38.3,11.5,80.6
Creme De Cacao White,61.9,52,32,55.9,56.3,44,45.5,22.1,16.1
"Salmon - Smoked, Sliced",71.6,85,43,40.4,58.0,49,53.4,24.5,33.4
"Pepper - Red, Finger Hot",67.1,24,28,46.5,50.7,38,45.5,34.6,11.0
Truffle Paste,48.2,26,61,56.8,56.2,29,58.2,21.5,77.7
Muffin Batt - Carrot Spice,50.8,73,55,50.9,54.7,21,34.4,27.5,13.8
Asparagus - Frozen,60.2,51,42,58.2,57.8,30,26.5,31.2,29.5
"Chicken - Breast, 5 - 7 Oz",61.1,40,67,56.0,50.8,39,30.9,17.6,12.5
Calypso - Black Cherry Lemonade,65.8,83,57,45.8,49.9,27,52.8,28.6,81.8
Crackers - Soda / Saltins,24.3,67,56,57.7,44.9,39,54.9,49.6,59.6
"Cheese - Manchego, Spanish",52.9,75,49,48.1,44.1,51,56.8,45.5,48.7
"Wine - White, Colubia Cresh",44.6,80,32,52.1,44.2,36,44.6,24.4,31.9
Chocolate - Milk,79.0,60,30,53.7,42.2,28,40.4,22.6,56.0
"Beef - Chuck, Boneless",23.0,77,47,54.9,56.0,22,35.8,27.1,58.9
Pear - Asian,47.4,42,26,54.0,51.4,42,28.1,15.3,43.1
Lamb Leg - Bone - In Nz,49.3,67,44,52.5,47.5,57,37.1,34.5,78.5
"Napkin - Cocktail,beige 2 - Ply",79.0,31,21,59.3,51.7,36,23.6,28.5,47.7
Table Cloth 72x144 White,49.9,50,64,59.7,49.1,20,50.1,32.4,37.6
Sweet Pea Sprouts,57.2,36,39,47.5,53.5,39,42.4,43.2,10.9
Ginger - Crystalized,79.6,50,23,47.5,53.3,52,59.7,13.3,14.0
Compound - Orange,55.1,35,39,55.5,42.0,55,59.3,26.0,57.2
Table Cloth 144x90 White,71.6,68,33,49.5,41.1,36,50.2,18.4,27.3
Nut - Pumpkin Seeds,53.6,29,67,51.7,59.2,37,59.4,34.6,75.8
Tomatoes,49.1,44,30,47.3,46.9,31,46.7,39.8,40.7
Anchovy Fillets,53.1,64,33,54.8,41.2,49,36.2,42.8,14.5
"Pork - Bacon, Sliced",56.6,55,45,51.3,58.6,52,50.4,31.6,80.2
Potatoes - Idaho 80 Count,76.9,28,23,46.2,53.2,32,45.2,41.1,17.4
Potatoes - Mini White 3 Oz,71.0,63,37,48.7,47.6,27,30.1,19.5,48.0
Chevril,21.1,78,35,47.2,45.8,54,45.8,29.1,16.2
Eel Fresh,77.9,62,62,51.2,54.3,27,37.2,27.2,53.3
Sole - Fillet,62.2,67,59,59.5,43.7,55,22.4,28.8,77.2
Bouillion - Fish,44.1,79,62,49.9,50.6,36,51.0,28.6,32.3
Wine - Pinot Grigio Collavini,42.8,59,54,45.5,49.1,40,46.8,32.5,42.4
Yucca,29.3,56,44,51.2,54.1,26,32.6,25.4,89.6
Allspice - Jamaican,57.0,22,41,53.5,50.0,45,20.7,13.8,74.5
Wine - Clavet Saint Emilion,22.8,74,57,47.0,56.8,60,32.4,28.8,81.8
Glaze - Clear,36.0,54,41,44.8,59.6,23,34.0,20.1,75.5
"Beans - Black Bean, Dry",54.7,68,28,54.1,50.9,60,33.1,40.5,51.8
"Mustard - Dry, Powder",56.7,49,20,45.0,49.3,34,28.3,38.6,31.6
Pork - Smoked Kassler,31.6,24,22,46.8,44.1,57,57.4,22.8,39.1
Ecolab Digiclean Mild Fm,73.6,30,50,54.2,59.3,26,30.5,44.9,83.6
"Mushrooms - Black, Dried",62.4,33,27,58.2,46.5,31,35.7,19.4,30.1
Chocolate - White,75.5,75,32,43.7,51.7,37,31.4,19.7,73.0
Scallops - Live In Shell,27.3,51,60,46.6,50.2,48,36.6,25.2,79.7
Chocolate - Milk,77.5,45,54,45.8,52.8,51,59.1,19.0,49.2
Ham - Cooked,62.3,85,69,43.3,45.7,44,31.0,40.2,32.0
Beef - Ground Lean Fresh,46.9,38,21,41.1,56.8,29,47.2,11.4,32.2
Steampan Lid,66.6,60,61,50.9,59.9,46,41.2,37.9,27.0
Island Oasis - Strawberry,62.3,27,65,54.5,45.0,23,51.5,40.6,20.9
Lamb - Loin Chops,73.2,66,66,41.8,43.4,28,45.0,42.7,74.7
Coffee - Egg Nog Capuccino,57.6,54,28,48.3,53.6,29,56.0,27.6,21.1
Icecream - Dstk Cml And Fdg,31.2,36,68,46.1,52.5,46,22.8,19.6,86.9
Bread - Hot Dog Buns,51.1,32,29,49.5,41.1,22,23.8,18.2,37.6
Chips Potato Salt Vinegar 43g,43.2,81,21,46.4,54.7,25,22.7,17.3,31.8
Gelatine Leaves - Bulk,26.3,82,56,56.7,51.7,39,57.9,21.2,79.6
"Yogurt - Blueberry, 175 Gr",45.8,51,31,40.9,51.8,33,28.2,33.0,23.1
Plasticforkblack,29.8,89,32,45.3,49.4,47,48.0,16.0,70.6
Crackers - Graham,56.8,57,42,48.0,54.4,59,49.7,25.7,39.0
Pear - Halves,21.6,59,52,46.3,48.5,43,57.2,35.1,32.6
Muffin Puck Ww Carrot,20.0,25,51,53.2,52.4,57,28.7,10.1,49.8
Crackers - Trio,55.3,68,23,49.9,57.1,44,46.7,15.1,41.4
Energy Drink - Franks Original,57.2,50,48,55.1,57.9,44,20.8,38.6,62.6
Beef - Tender Tips,70.1,55,40,58.9,59.6,24,21.1,21.1,39.3
Bacardi Mojito,59.5,53,44,45.4,54.8,47,55.9,35.7,71.2
Black Currants,56.7,70,41,47.9,45.4,52,37.0,37.9,40.3
"Iced Tea - Lemon, 460 Ml",56.2,76,66,52.7,40.3,55,53.9,20.2,44.7
Quail Eggs - Canned,34.1,34,33,52.7,57.1,33,40.0,42.4,71.6
Chocolate Bar - Smarties,53.8,68,39,55.3,42.2,50,21.5,21.0,54.0
Wasabi Powder,44.3,53,34,45.5,45.8,47,42.7,32.1,25.6
Wine - White Cab Sauv.on,62.4,35,41,55.3,50.3,40,40.7,37.6,72.6
Worcestershire Sauce,61.0,82,53,44.6,51.6,24,42.2,40.5,37.5
Melon - Honey Dew,63.3,74,58,58.3,51.8,55,49.8,48.3,78.2
Cotton Wet Mop 16 Oz,66.4,51,49,55.3,55.4,55,40.4,35.4,36.0
Bread - Dark Rye,32.4,48,57,41.0,43.8,46,38.4,21.8,12.0
Bar Mix - Lemon,33.8,74,51,45.8,52.0,37,39.6,15.6,13.7
Ezy Change Mophandle,20.6,45,68,42.3,50.0,41,53.6,10.8,71.1
Veal - Insides Provini,44.3,29,65,46.4,59.4,37,48.5,32.5,87.5
"Fish - Soup Base, Bouillon",75.3,29,63,48.2,48.0,27,47.4,15.5,40.8
"Beans - Navy, Dry",72.5,37,64,43.5,43.2,29,31.1,42.8,37.2
Rice - Brown,53.9,86,64,43.4,44.4,53,50.7,16.6,49.3
Soup - Campbells Beef Noodle,74.7,22,33,47.8,48.9,44,50.6,43.5,69.6
Sobe - Lizard Fuel,43.4,57,40,56.3,44.8,38,50.6,28.8,39.7
Halibut - Fletches,56.3,44,25,43.9,43.2,50,32.5,14.5,47.0
Mcgillicuddy Vanilla Schnap,54.8,89,64,49.2,57.6,50,59.2,33.5,64.6
Oysters - Smoked,25.1,36,49,44.0,51.5,30,42.8,43.9,38.2
"Seedlings - Mix, Organic",28.2,71,69,59.9,47.0,24,33.9,15.0,30.1
"Veal - Leg, Provimi - 50 Lb Max",48.5,60,56,49.3,40.4,25,56.9,45.7,82.9
Radish,32.1,50,51,55.4,47.0,46,24.9,30.0,75.5
"Lemonade - Natural, 591 Ml",71.6,36,50,46.5,54.1,30,49.0,17.9,28.9
Jameson Irish Whiskey,38.0,85,35,47.7,41.2,55,24.3,36.8,78.4
Yucca,60.0,70,65,43.8,53.1,32,38.0,45.4,73.1
Oil - Margarine,61.1,75,40,56.1,51.4,60,24.4,40.3,74.1
Wine - Jackson Triggs Okonagan,57.8,47,64,53.9,51.4,20,22.1,37.1,26.0
Wine - Pinot Noir Pond Haddock,59.8,20,40,54.8,52.5,25,38.9,23.7,80.4
"Pork - Butt, Boneless",50.1,42,41,53.4,58.0,48,47.1,48.1,43.2
Truffle Cups Green,44.5,41,48,45.4,42.9,22,44.4,31.9,50.4
Salt - Seasoned,69.3,73,50,49.6,45.7,33,21.8,46.3,15.0
Compound - Raspberry,26.8,60,26,43.5,43.1,47,28.6,21.2,82.6
Water - Spring 1.5lit,45.9,46,33,52.8,49.8,48,43.4,17.2,34.0
Carrots - Jumbo,23.8,20,21,44.3,54.0,31,41.4,36.6,18.3
Lidsoupcont Rp12dn,53.2,55,70,53.8,56.1,52,47.8,18.2,68.7
Plasticspoonblack,30.1,40,24,49.3,55.1,55,28.5,21.3,22.6
Mustard - Seed,68.7,65,29,56.2,47.2,55,56.7,15.6,33.6
"Beans - Kidney, Canned",34.2,67,28,48.9,55.6,48,38.0,33.0,56.3
Yeast Dry - Fleischman,41.3,87,55,54.0,56.7,38,24.6,24.9,44.3
Napkin White,76.7,90,25,49.1,44.8,39,44.5,45.3,32.4
Lychee - Canned,32.3,71,36,57.0,48.5,32,37.9,25.1,37.6
Steampan - Foil,75.0,82,52,46.3,47.3,50,31.4,37.8,86.9
Muffin - Bran Ind Wrpd,74.5,30,58,45.6,52.5,52,39.2,27.0,79.0
"Tortillas - Flour, 8",41.6,45,70,50.3,53.7,60,44.5,45.0,89.1
Mushroom - King Eryingii,20.9,66,41,45.8,56.4,23,42.7,31.7,13.6
Wine - Spumante Bambino White,48.7,39,41,40.8,41.4,29,55.7,40.2,79.4
"Gingerale - Schweppes, 355 Ml",29.8,57,47,57.5,44.2,41,25.7,16.7,81.4
Pear - Prickly,49.9,78,30,56.0,56.3,50,24.1,25.8,40.3
Pie Filling - Cherry,35.8,64,67,57.6,52.5,37,59.3,40.7,25.0
"Tart Shells - Barquettes, Savory",55.4,47,50,55.5,55.1,28,57.0,49.8,12.5
"Rice Pilaf, Dry,package",31.3,87,33,46.8,44.3,54,29.1,33.0,20.2
Bread - Sour Batard,69.3,57,27,53.9,40.9,21,21.5,41.6,71.2
Wine - Pinot Noir Pond Haddock,66.3,68,57,57.3,46.4,36,30.2,23.4,55.4
Contreau,72.0,23,53,46.7,53.1,60,44.5,43.2,70.6
Sauce - Vodka Blush,31.7,62,58,51.7,54.7,31,57.2,21.3,60.3
Crab - Meat Combo,73.8,61,60,44.8,50.3,26,31.2,32.1,69.8
Versatainer Nc - 888,74.6,42,37,43.0,58.0,46,48.2,37.4,83.4
Crab Brie In Phyllo,76.3,45,33,48.2,54.0,47,34.6,41.6,42.9
Pectin,59.1,37,49,44.4,46.5,34,43.9,10.6,52.8
Lettuce - Radicchio,61.0,20,54,54.5,55.4,60,57.2,48.4,84.6
"Fish - Scallops, Cold Smoked",23.5,65,62,48.1,52.5,48,43.2,45.3,74.7
Pork - Hock And Feet Attached,20.4,77,37,45.5,56.9,44,57.5,41.1,25.5
Island Oasis - Magarita Mix,42.0,49,31,50.2,46.5,38,49.6,41.6,85.4
Pomegranates,50.3,35,50,54.5,44.8,28,59.9,18.5,48.2
